id,name,address,website,image_url,low_avg_price,high_avg_price,rating,reviews
05466b6a-c82b-491b-95de-3f15770e0e74,The Ruckus,"2502 Nueces St, Austin, TX 78705, USA",https://yugo.com/en-us/global/united-states-of-america/austin-tx/yugo-austin-nueces-?utm_source=googlemaps&utm_medium=organic,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/the-ruckus.jpg,,,4.6,82
14501052-bd10-44b6-8584-726c9227f7ee,The Castilian,"2323 San Antonio St, Austin, TX 78705, USA",https://www.americancampus.com/student-apartments/tx/austin/the-castilian,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/the-castilian.jpg,,,4.3,561
152e9357-14e6-4b6a-84f3-2a755f92aca6,The Block,"2501 Pearl St, Austin, TX 78705, USA",https://www.americancampus.com/student-apartments/tx/austin/the-block,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/the-block.jpg,,,3.9,695
36642147-d91d-43f4-8b85-2716a3f3c35f,Hilltop,"2400 San Gabriel St, Austin, TX 78705, USA",https://www.hilltopatx.com/?switch_cls[id]=67805&utm_source=gmb&utm_medium=organic,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/hilltop.jpg,,,4.2,177
37eb62bf-2ac1-4566-b360-917196f75aa4,Point on 24th,"701 W 24th St, Austin, TX 78705, USA",https://www.unionon24th.com/?switch_cls[id]=67805&utm_source=gmb&utm_medium=organic,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/point-on-24th.jpg,,,4.6,368
3c2b4c3e-4ab8-43b2-b697-2c3183bb4d42,Rise at West Campus,"2206 Nueces St, Austin, TX 78705, USA",https://www.riseatwestcampus.com/?utm_source=GBP&utm_medium=organic,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/rise-at-west-campus.jpg,,,2.7,125
3e2bb2bb-44d8-4a8c-81b0-cbc7013c9b7b,The Mark,"812 W 23rd St, Austin, TX 78705, USA",https://www.themarkatx.com/?utm_source=GoogleMyBusiness&utm_medium=organic&utm_campaign=GMB,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/the-mark.jpg,,,4.4,229
3f8709f1-6465-4f81-8dd6-1f80e45ee8e0,Axis West Campus,"2505 Longview St, Austin, TX 78705, USA",https://www.axiswestcampus.com/?switch_cls[id]=68820,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/axis-west-campus.jpg,,,3.5,169
401bb022-85f6-44f6-a771-3a609f6cc734,Waterloo,"2400 Seton Ave, Austin, TX 78705, USA",https://yugo.com/en-us/global/united-states-of-america/austin-tx/yugo-austin-waterloo?utm_source=product&utm_medium=list&utm_id=GMB,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/apartments/waterloo.jpg,,,3.1,227
447818d9-c1b4-425e-90d4-e8ddd9551156,26 West,"600 W 26th St, Austin, TX 78705",https://www.americancampus.com/student-apartments/tx/austin/26-west,https://fyqfeupyzgeksuakjtpv.supabase.co/storage/v1/object/public/images/26_West_Apartment_Image.webp,,,4.3,660
